User_ID,Timestamp,UTM_Source,Campaign,Converted,Revenue,Ad_Spend,Clicks,Impressions
U0001,2026-02-01 07:00:00,LinkedIn,LinkedIn_B2B,0,0,5467,94,14825
U0002,2026-01-28 07:00:00,Google,Google_Search,0,0,6323,409,18856
U0003,2026-02-16 15:30:00,TikTok,TikTok_Viral,0,0,6719,266,12149
U0003,2026-01-20 06:00:00,LinkedIn,LinkedIn_B2B,0,0,1792,233,12270
U0003,2026-02-03 01:00:00,Blog,Content_Marketing,0,0,4100,90,19089
U0003,2026-03-22 19:00:00,LinkedIn,LinkedIn_B2B,1,150,1569,73,8467
U0004,2026-01-13 12:00:00,Facebook,FB_Summer,0,0,4032,231,7865
U0004,2026-03-31 21:00:00,LinkedIn,LinkedIn_B2B,0,0,6973,175,6354
U0004,2026-02-18 08:00:00,TikTok,TikTok_Viral,0,0,6608,216,2832
U0005,2026-02-21 08:00:00,LinkedIn,LinkedIn_B2B,0,0,6881,211,7967
U0005,2026-02-20 20:00:00,TikTok,TikTok_Viral,0,0,5598,325,9609
U0006,2026-02-21 11:00:00,Blog,Content_Marketing,0,0,1744,436,2543
U0006,2026-01-20 20:00:00,Google,Google_Search,0,0,4152,245,16337
U0006,2026-02-16 15:30:00,Blog,Content_Marketing,0,0,6584,324,9743
U0006,2026-01-15 09:00:00,LinkedIn,LinkedIn_B2B,0,0,6895,184,17403
U0006,2026-03-06 03:00:00,Facebook,FB_Summer,1,600,5988,151,6008
U0007,2026-03-09 00:00:00,Blog,Content_Marketing,0,0,3973,499,11076
U0007,2026-01-08 07:00:00,Facebook,FB_Summer,0,0,4981,467,3267
U0007,2026-01-17 04:00:00,Blog,Content_Marketing,0,0,5322,496,14865
U0008,2026-02-21 21:00:00,LinkedIn,LinkedIn_B2B,0,0,1991,176,8362
U0008,2026-02-13 00:00:00,Google,Google_Search,1,150,1581,412,2929
U0009,2026-02-12 02:00:00,Google,Google_Search,0,0,5417,117,19711
U0009,2026-03-02 07:00:00,Blog,Content_Marketing,0,0,1794,387,15124
U0010,2026-03-01 23:00:00,TikTok,TikTok_Viral,0,0,1496,256,12118
U0010,2026-02-01 06:00:00,Google,Google_Search,0,0,3281,286,9185
U0010,2026-02-26 17:00:00,Google,Google_Search,1,600,1120,97,8745
U0011,2026-03-03 06:00:00,TikTok,TikTok_Viral,0,0,1017,249,9690
U0011,2026-02-06 13:00:00,TikTok,TikTok_Viral,1,600,6422,417,16947
U0012,2026-01-28 01:00:00,LinkedIn,LinkedIn_B2B,0,0,1468,75,16623
U0012,2026-03-09 05:00:00,Blog,Content_Marketing,1,150,1561,354,3226
U0013,2026-03-14 07:00:00,Google,Google_Search,0,0,6385,348,19521
U0013,2026-02-10 08:00:00,Blog,Content_Marketing,1,600,4242,117,10830
U0014,2026-01-02 14:00:00,Google,Google_Search,0,0,5404,159,17576
U0014,2026-01-17 11:00:00,LinkedIn,LinkedIn_B2B,0,0,2292,274,18800
U0014,2026-03-20 20:00:00,LinkedIn,LinkedIn_B2B,0,0,6434,103,5400
U0014,2026-01-15 03:00:00,LinkedIn,LinkedIn_B2B,1,400,2725,417,12235
U0015,2026-03-04 08:00:00,Blog,Content_Marketing,0,0,4469,474,10066
U0015,2026-01-01 10:00:00,Google,Google_Search,1,250,7072,276,19077
U0016,2026-01-10 22:00:00,Google,Google_Search,0,0,5771,332,5852
U0016,2026-01-17 01:00:00,TikTok,TikTok_Viral,0,0,1326,233,7883
U0016,2026-03-27 03:00:00,Facebook,FB_Summer,0,0,6084,433,6064
U0016,2026-01-21 05:00:00,Facebook,FB_Summer,0,0,3721,450,14491
U0017,2026-03-31 03:00:00,Facebook,FB_Summer,0,0,2634,468,16083
U0017,2026-02-09 07:00:00,LinkedIn,LinkedIn_B2B,1,250,3282,492,3274
U0018,2026-02-21 21:00:00,Blog,Content_Marketing,0,0,1944,499,9559
U0018,2026-03-16 08:00:00,Facebook,FB_Summer,0,0,7442,210,15299
U0018,2026-03-07 03:00:00,Blog,Content_Marketing,1,400,6806,273,1055
U0019,2026-02-25 02:00:00,LinkedIn,LinkedIn_B2B,0,0,6434,484,5083
U0019,2026-03-06 09:00:00,LinkedIn,LinkedIn_B2B,0,0,5541,115,7286
U0019,2026-03-27 12:00:00,TikTok,TikTok_Viral,0,0,3465,257,18954
U0019,2026-02-08 09:00:00,Google,Google_Search,0,0,3639,288,15476
U0019,2026-03-28 06:00:00,TikTok,TikTok_Viral,1,150,7028,136,3778
U0020,2026-01-31 21:00:00,Google,Google_Search,0,0,1378,175,16569
U0020,2026-01-10 14:00:00,Blog,Content_Marketing,0,0,6704,246,17199
U0020,2026-02-16 15:30:00,TikTok,TikTok_Viral,1,400,7308,104,14931
U0021,2026-03-01 01:00:00,Blog,Content_Marketing,0,0,2092,460,16225
U0021,2026-03-13 19:00:00,Blog,Content_Marketing,0,0,7676,418,17540
U0022,2026-03-02 14:00:00,Facebook,FB_Summer,0,0,7273,448,18081
U0022,2026-03-22 07:00:00,TikTok,TikTok_Viral,0,0,3225,221,11476
U0022,2026-01-11 04:00:00,Blog,Content_Marketing,0,0,2752,82,14594
U0022,2026-02-12 17:00:00,TikTok,TikTok_Viral,1,900,4190,444,1640
U0023,2026-01-01 11:00:00,TikTok,TikTok_Viral,0,0,7846,264,18636
U0023,2026-03-19 07:00:00,Blog,Content_Marketing,0,0,4185,222,14248
U0023,2026-03-01 04:00:00,Facebook,FB_Summer,0,0,5848,338,1888
U0023,2026-03-24 13:00:00,Google,Google_Search,0,0,4105,217,7935
U0023,2026-02-11 10:00:00,TikTok,TikTok_Viral,1,600,7815,265,9266
U0024,2026-03-11 01:00:00,Google,Google_Search,1,900,7399,383,2319
U0025,2026-01-03 19:00:00,Facebook,FB_Summer,1,150,5620,161,16238
U0026,2026-03-19 19:00:00,Facebook,FB_Summer,0,0,2341,209,4542
U0026,2026-01-04 09:00:00,Blog,Content_Marketing,0,0,6857,151,3490
U0026,2026-03-30 20:00:00,Blog,Content_Marketing,1,400,6605,357,4966
U0027,2026-03-10 13:00:00,LinkedIn,LinkedIn_B2B,0,0,1103,484,14764
U0027,2026-01-14 13:00:00,TikTok,TikTok_Viral,0,0,6794,128,15270
U0027,2026-03-08 20:00:00,Facebook,FB_Summer,0,0,4960,288,15272
U0027,2026-02-04 10:00:00,Blog,Content_Marketing,0,0,4692,174,16227
U0027,2026-03-20 21:00:00,Blog,Content_Marketing,0,0,2489,299,7950
U0028,2026-02-05 19:00:00,Unknown,LinkedIn_B2B,0,0,2565,93,8908
U0028,2026-03-04 17:00:00,TikTok,TikTok_Viral,0,0,5020,279,1565
U0028,2026-02-07 07:00:00,Google,Google_Search,1,250,4023,292,19136
U0029,2026-03-12 10:00:00,TikTok,TikTok_Viral,0,0,2888,111,7310
U0029,2026-01-16 23:00:00,LinkedIn,LinkedIn_B2B,0,0,2772,428,16866
U0029,2026-03-17 16:00:00,LinkedIn,LinkedIn_B2B,0,0,3426,166,12825
U0029,2026-02-08 00:00:00,Unknown,FB_Summer,0,0,1446,333,10572
U0029,2026-02-16 15:30:00,Facebook,FB_Summer,1,400,4921,275,12164
U0030,2026-03-03 03:00:00,LinkedIn,LinkedIn_B2B,0,0,6156,401,2756
U0030,2026-01-20 18:00:00,Facebook,FB_Summer,0,0,5571,441,14637
U0031,2026-02-18 14:00:00,Blog,Content_Marketing,0,0,4512,206,19632
U0031,2026-01-08 19:00:00,Blog,Content_Marketing,0,0,6124,158,9671
U0031,2026-01-21 07:00:00,Unknown,Google_Search,0,0,4690,402,16398
U0031,2026-01-05 07:00:00,LinkedIn,LinkedIn_B2B,0,0,1583,401,8648
U0031,2026-03-22 18:00:00,LinkedIn,LinkedIn_B2B,1,150,5461,165,5882
U0032,2026-01-08 05:00:00,Google,Google_Search,0,0,3364,274,5074
U0032,2026-03-30 09:00:00,TikTok,TikTok_Viral,0,0,5045,274,3635
U0032,2026-01-06 13:00:00,Unknown,Content_Marketing,0,0,2875,395,19848
U0033,2026-03-15 01:00:00,LinkedIn,LinkedIn_B2B,0,0,4622,192,6947
U0033,2026-02-25 20:00:00,Blog,Content_Marketing,0,0,4345,220,11520
U0033,2026-01-21 10:00:00,Google,Google_Search,0,0,4280,466,19025
U0033,2026-02-28 02:00:00,Google,Google_Search,0,0,4311,492,17862
U0033,2026-03-26 17:00:00,Google,Google_Search,0,0,6100,437,17334
U0034,2026-02-04 17:00:00,Facebook,FB_Summer,0,0,4970,112,1945
U0034,2026-01-31 22:00:00,Blog,Content_Marketing,0,0,1763,165,4717
U0034,2026-01-16 20:00:00,TikTok,TikTok_Viral,0,0,5168,411,9959
U0034,2026-03-03 15:00:00,TikTok,TikTok_Viral,0,0,5910,310,5473
U0035,2026-02-16 15:30:00,TikTok,TikTok_Viral,1,250,7860,350,17044
U0036,2026-03-03 11:00:00,Blog,Content_Marketing,0,0,3636,495,7181
U0036,2026-03-15 12:00:00,Unknown,FB_Summer,1,900,7100,292,13492
U0037,2026-01-05 04:00:00,TikTok,TikTok_Viral,0,0,7922,275,4267
U0037,2026-02-28 00:00:00,Blog,Content_Marketing,0,0,2264,88,16384
U0037,2026-02-13 19:00:00,LinkedIn,LinkedIn_B2B,0,0,7982,395,18485
U0037,2026-02-10 20:00:00,TikTok,TikTok_Viral,0,0,1294,366,3242
U0038,2026-01-12 13:00:00,Facebook,FB_Summer,0,0,1823,277,6451
U0038,2026-01-04 01:00:00,LinkedIn,LinkedIn_B2B,1,250,4528,124,9001
U0039,2026-03-29 05:00:00,Blog,Content_Marketing,0,0,6076,399,8891
U0039,2026-03-16 04:00:00,TikTok,TikTok_Viral,0,0,6462,54,16245
U0039,2026-03-28 17:00:00,LinkedIn,LinkedIn_B2B,0,0,5813,203,14903
U0039,2026-02-28 09:00:00,LinkedIn,LinkedIn_B2B,0,0,2943,245,19740
