User_ID,Customer_Journey
U0001,LinkedIn
U0002,Google
U0003,LinkedIn -> Blog -> TikTok -> LinkedIn
U0004,Facebook -> TikTok -> LinkedIn
U0005,TikTok -> LinkedIn
U0006,LinkedIn -> Google -> Blog -> Blog -> Facebook
U0007,Facebook -> Blog -> Blog
U0008,Google -> LinkedIn
U0009,Google -> Blog
U0010,Google -> Google -> TikTok
U0011,TikTok -> TikTok
U0012,LinkedIn -> Blog
U0013,Blog -> Google
U0014,Google -> LinkedIn -> LinkedIn -> LinkedIn
U0015,Google -> Blog
U0016,Google -> TikTok -> Facebook -> Facebook
U0017,LinkedIn -> Facebook
U0018,Blog -> Blog -> Facebook
U0019,Google -> LinkedIn -> LinkedIn -> TikTok -> TikTok
U0020,Blog -> Google -> TikTok
U0021,Blog -> Blog
U0022,Blog -> TikTok -> Facebook -> TikTok
U0023,TikTok -> TikTok -> Facebook -> Blog -> Google
U0024,Google
U0025,Facebook
U0026,Blog -> Facebook -> Blog
U0027,TikTok -> Blog -> Facebook -> LinkedIn -> Blog
U0028,Unknown -> Google -> TikTok
U0029,LinkedIn -> Unknown -> Facebook -> TikTok -> LinkedIn
U0030,Facebook -> LinkedIn
U0031,LinkedIn -> Blog -> Unknown -> Blog -> LinkedIn
U0032,Unknown -> Google -> TikTok
U0033,Google -> Blog -> Google -> LinkedIn -> Google
U0034,TikTok -> Blog -> Facebook -> TikTok
U0035,TikTok
U0036,Blog -> Unknown
U0037,TikTok -> TikTok -> LinkedIn -> Blog
U0038,LinkedIn -> Facebook
U0039,LinkedIn -> LinkedIn -> TikTok -> LinkedIn -> Blog
U0040,Blog
U0041,LinkedIn -> LinkedIn -> Blog -> LinkedIn -> Facebook
U0042,LinkedIn -> LinkedIn -> LinkedIn -> TikTok -> Google
U0043,Blog -> LinkedIn -> Blog -> LinkedIn -> Google
U0044,TikTok
U0045,Google -> Google -> TikTok
U0046,Google -> TikTok -> Blog -> TikTok -> LinkedIn
U0047,Blog
U0048,Google
U0049,Google -> Google -> TikTok -> TikTok -> LinkedIn
U0050,LinkedIn
U0051,Google -> TikTok
U0052,LinkedIn -> LinkedIn -> Google -> Google
U0053,Blog -> Blog
U0054,LinkedIn -> Google
U0055,LinkedIn -> Blog -> Google -> Unknown -> LinkedIn
U0056,Google -> Blog -> Blog
U0057,Facebook -> Blog -> TikTok -> Google
U0058,LinkedIn -> Google -> Google -> TikTok -> Facebook
U0059,Google -> Google
U0060,Facebook
U0061,LinkedIn -> TikTok -> Blog -> Unknown
U0062,Unknown -> LinkedIn
U0063,LinkedIn
U0064,TikTok -> TikTok -> Google
U0065,Blog -> LinkedIn -> LinkedIn
U0066,Google
U0067,TikTok -> Google -> Facebook
U0068,TikTok -> Blog -> Blog -> Blog
U0069,Facebook -> Blog -> Facebook -> TikTok
U0070,Google -> Blog -> Facebook
U0071,LinkedIn -> Facebook -> LinkedIn -> LinkedIn
U0072,TikTok -> Blog
U0073,LinkedIn
U0074,LinkedIn -> Facebook -> LinkedIn -> Unknown
U0075,LinkedIn -> Blog -> Blog -> Blog -> Facebook
U0076,Facebook
U0077,Blog
U0078,LinkedIn -> LinkedIn -> Facebook -> Blog -> Facebook
U0079,Blog -> Google
U0080,Google
U0081,LinkedIn -> Facebook -> LinkedIn
U0082,Facebook -> Facebook -> Google -> Facebook -> TikTok
U0083,Blog -> Blog -> Google -> Facebook
U0084,TikTok -> Google -> Google
U0085,Google
U0086,Google -> TikTok -> LinkedIn
U0087,Facebook -> LinkedIn -> Facebook
U0088,Blog -> TikTok -> Blog -> Facebook -> LinkedIn
U0089,Unknown -> Facebook
U0090,Facebook -> Facebook
U0091,LinkedIn -> Blog -> LinkedIn -> Blog
U0092,Unknown -> Blog -> Facebook
U0093,Facebook -> TikTok -> Blog
U0094,Unknown
U0095,LinkedIn -> LinkedIn -> Blog -> Facebook
U0096,LinkedIn -> Blog
U0097,Google -> LinkedIn -> TikTok -> Blog
U0098,TikTok -> LinkedIn -> Unknown -> Facebook
U0099,LinkedIn -> LinkedIn -> LinkedIn
U0100,TikTok -> TikTok
U0101,Blog
